,instant,dteday,season,yr,mnth,day,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_encoding,temp_interval,temp_interval_num,hum_interval,hum_interval_num,temp_interval_ord,hum_very_low,hum_low,hum_medium,hum_high,hum_very_high,wind_interval,wind_num_encoding
27,28,2018-01-28,winter,0,1,28,0,5,1,2,8.3,11.2,79.3,8.2611,38,1129,1167,1,very_low,"(2.367, 8.98]",very_high,"(77.76, 97.2]",1,0,0,0,0,1,low,3
28,29,2018-01-29,winter,0,1,29,0,6,0,1,8.1,10.6,65.2,9.739455,123,975,1098,1,very_low,"(2.367, 8.98]",high,"(58.32, 77.76]",1,0,0,0,1,0,low,3
29,30,2018-01-30,winter,0,1,30,0,0,0,1,8.9,12.5,72.2,4.9568342,140,956,1096,1,very_low,"(2.367, 8.98]",high,"(58.32, 77.76]",1,0,0,0,1,0,very_low,4
30,31,2018-01-31,winter,0,1,31,0,1,1,2,7.4,9.3,60.4,12.541864,42,1459,1501,1,very_low,"(2.367, 8.98]",high,"(58.32, 77.76]",1,0,0,0,1,0,low,3
31,32,2018-01-02,winter,0,2,01,0,2,1,2,7.9,11.7,83.0,3.565271,47,1313,1360,1,very_low,"(2.367, 8.98]",very_high,"(77.76, 97.2]",1,0,0,0,0,1,very_low,4
32,33,2018-02-02,winter,0,2,02,0,3,1,2,10.7,12.7,77.5,17.708636,72,1454,1526,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,medium,2
33,34,2018-03-02,winter,0,2,03,0,4,1,1,7.7,8.9,43.8,18.609384,61,1489,1550,1,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,medium,2
34,35,2018-04-02,spring,0,2,04,0,5,1,2,8.7,11.4,58.5,8.565213,88,1620,1708,3,very_low,"(2.367, 8.98]",high,"(58.32, 77.76]",1,0,0,0,1,0,low,3
35,36,2018-05-02,spring,0,2,05,0,6,0,2,9.6,12.2,92.9,10.792293,100,905,1005,3,low,"(8.98, 15.56]",very_high,"(77.76, 97.2]",2,0,0,0,0,1,low,3
36,37,2018-06-02,spring,0,2,06,0,0,0,1,11.7,14.6,56.8,9.5006,354,1269,1623,3,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
37,38,2018-07-02,summer,0,2,07,0,1,1,1,11.1,15.2,73.8,3.0423561,120,1592,1712,4,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,very_low,4
38,39,2018-08-02,summer,0,2,08,0,2,1,1,9.1,9.9,53.8,24.25065,64,1466,1530,4,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,high,1
39,40,2018-09-02,summer,0,2,09,0,3,1,2,5.5,7.2,49.5,12.652213,53,1552,1605,4,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,low,3
40,41,2018-10-02,autumn,0,2,10,0,4,1,1,5.9,7.5,43.7,14.869645,47,1491,1538,2,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,medium,2
41,42,2018-11-02,autumn,0,2,11,0,5,1,1,7.8,10.7,50.6,7.27285,149,1597,1746,2,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,very_low,4
42,43,2018-12-02,autumn,0,2,12,0,6,0,1,9.1,11.6,54.4,13.625589,288,1184,1472,2,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
43,44,2018-02-13,winter,0,2,13,0,0,0,1,13.0,16.2,45.7,17.479161,397,1192,1589,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,medium,2
44,45,2018-02-14,winter,0,2,14,0,1,1,1,17.0,19.9,37.6,27.999836,208,1705,1913,1,medium,"(15.56, 22.14]",low,"(19.44, 38.88]",3,0,1,0,0,0,very_high,1
45,46,2018-02-15,winter,0,2,15,0,2,1,1,10.9,12.7,31.4,19.522058,140,1675,1815,1,low,"(8.98, 15.56]",low,"(19.44, 38.88]",2,0,1,0,0,0,medium,2
46,47,2018-02-16,winter,0,2,16,0,3,1,1,13.0,15.8,42.3,16.869997,218,1897,2115,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,medium,2
47,48,2018-02-17,winter,0,2,17,0,4,1,1,17.9,21.4,50.5,15.416968,259,2216,2475,1,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,medium,2
48,49,2018-02-18,winter,0,2,18,0,5,1,1,21.4,25.6,51.7,17.749975,579,2348,2927,1,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,medium,2
49,50,2018-02-19,winter,0,2,19,0,6,0,1,16.4,19.6,18.8,34.000021,532,1103,1635,1,medium,"(15.56, 22.14]",very_low,"(-0.0972, 19.44]",3,1,0,0,0,0,very_high,1
50,51,2018-02-20,winter,0,2,20,0,0,0,1,11.7,13.9,40.8,14.956745,639,1173,1812,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,medium,2
51,52,2018-02-21,winter,0,2,21,1,1,0,2,12.4,14.2,60.5,20.625682,195,912,1107,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,medium,2
52,53,2018-02-22,winter,0,2,22,0,2,1,1,7.5,9.3,57.8,13.110761,74,1376,1450,1,very_low,"(2.367, 8.98]",medium,"(38.88, 58.32]",1,0,0,1,0,0,low,3
53,54,2018-02-23,winter,0,2,23,0,3,1,1,9.1,12.3,42.3,6.305571,139,1778,1917,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,very_low,4
54,55,2018-02-24,winter,0,2,24,0,4,1,2,12.1,14.5,69.7,16.783232,100,1707,1807,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,medium,2
55,56,2018-02-25,winter,0,2,25,0,5,1,2,14.9,17.5,71.2,23.218113,120,1341,1461,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,high,1
56,57,2018-02-26,winter,0,2,26,0,6,0,1,11.6,14.1,53.8,12.500257,424,1545,1969,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
57,58,2018-02-27,winter,0,2,27,0,0,0,1,14.1,17.6,68.0,8.391616,694,1708,2402,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,low,3
58,59,2018-02-28,winter,0,2,28,0,1,1,2,16.7,20.0,87.6,19.408962,81,1365,1446,1,medium,"(15.56, 22.14]",very_high,"(77.76, 97.2]",3,0,0,0,0,1,medium,2
59,60,2018-01-03,winter,0,3,01,0,2,1,1,10.9,13.2,53.5,14.500475,137,1714,1851,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,medium,2
60,61,2018-02-03,winter,0,3,02,0,3,1,1,13.7,16.0,45.0,20.624811,231,1903,2134,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,medium,2
61,62,2018-03-03,winter,0,3,03,0,4,1,1,8.1,10.0,31.8,15.125518,123,1562,1685,1,very_low,"(2.367, 8.98]",low,"(19.44, 38.88]",1,0,1,0,0,0,medium,2
62,63,2018-04-03,spring,0,3,04,0,5,1,2,10.7,12.8,61.0,13.624182,214,1730,1944,3,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,low,3
63,64,2018-05-03,spring,0,3,05,0,6,0,2,15.8,18.9,78.9,16.875357,640,1437,2077,3,medium,"(15.56, 22.14]",very_high,"(77.76, 97.2]",3,0,0,0,0,1,medium,2
64,65,2018-06-03,spring,0,3,06,0,0,0,2,15.4,18.3,94.8,23.000229,114,491,605,3,low,"(8.98, 15.56]",very_high,"(77.76, 97.2]",2,0,0,0,0,1,high,1
65,66,2018-07-03,summer,0,3,07,0,1,1,1,10.7,11.9,55.1,22.870584,244,1628,1872,4,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,high,1
66,67,2018-08-03,summer,0,3,08,0,2,1,1,12.0,15.1,42.1,8.08355,316,1817,2133,4,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
67,68,2018-09-03,summer,0,3,09,0,3,1,2,12.1,14.3,77.5,14.75005,191,1700,1891,4,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,medium,2
68,69,2018-10-03,autumn,0,3,10,0,4,1,3,16.0,19.3,0.0,17.545759,46,577,623,2,medium,"(15.56, 22.14]",very_low,"(-0.0972, 19.44]",3,1,0,0,0,0,medium,2
69,70,2018-11-03,autumn,0,3,11,0,5,1,2,13.0,15.2,65.0,15.60899,247,1730,1977,2,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,medium,2
70,71,2018-12-03,autumn,0,3,12,0,6,0,1,13.5,16.3,59.5,14.791925,724,1408,2132,2,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,medium,2
71,72,2018-03-13,winter,0,3,13,0,0,0,1,15.8,19.0,52.7,18.130468,982,1435,2417,1,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,medium,2
72,73,2018-03-14,winter,0,3,14,0,1,1,1,13.3,16.6,49.7,9.174042,359,1687,2046,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
73,74,2018-03-15,winter,0,3,15,0,2,1,2,13.0,15.9,65.6,12.348703,289,1767,2056,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,low,3
74,75,2018-03-16,winter,0,3,16,0,3,1,2,15.0,18.3,77.7,13.608839,321,1871,2192,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,low,3
75,76,2018-03-17,winter,0,3,17,0,4,1,1,17.0,20.5,60.3,14.041793,424,2320,2744,1,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,low,3
76,77,2018-03-18,winter,0,3,18,0,5,1,1,22.1,26.4,52.5,15.478139,884,2355,3239,1,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,medium,2
77,78,2018-03-19,winter,0,3,19,0,6,0,1,19.4,23.3,37.9,24.667189,1424,1693,3117,1,medium,"(15.56, 22.14]",low,"(19.44, 38.88]",3,0,1,0,0,0,high,1
78,79,2018-03-20,winter,0,3,20,0,0,0,1,13.6,16.3,47.4,13.917307,1047,1424,2471,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
79,80,2018-03-21,winter,0,3,21,0,1,1,2,17.6,20.5,73.7,19.348461,401,1676,2077,1,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,medium,2
80,81,2018-03-22,winter,0,3,22,0,2,1,1,18.1,22.0,62.5,15.12525,460,2243,2703,1,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,medium,2
81,82,2018-03-23,winter,0,3,23,0,3,1,2,14.2,16.9,84.0,15.695487,203,1918,2121,1,low,"(8.98, 15.56]",very_high,"(77.76, 97.2]",2,0,0,0,0,1,medium,2
82,83,2018-03-24,winter,0,3,24,0,4,1,2,11.7,13.5,80.6,16.333729,166,1699,1865,1,low,"(8.98, 15.56]",very_high,"(77.76, 97.2]",2,0,0,0,0,1,medium,2
83,84,2018-03-25,winter,0,3,25,0,5,1,1,10.8,12.8,49.5,15.458575,300,1910,2210,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,medium,2
84,85,2018-03-26,winter,0,3,26,0,6,0,1,10.9,12.9,39.4,14.041257,981,1515,2496,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
85,86,2018-03-27,winter,0,3,27,0,0,0,2,10.4,12.5,49.4,12.3481,472,1221,1693,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
86,87,2018-03-28,winter,0,3,28,0,1,1,1,10.8,12.9,30.2,14.217668,222,1806,2028,1,low,"(8.98, 15.56]",low,"(19.44, 38.88]",2,0,1,0,0,0,low,3
87,88,2018-03-29,winter,0,3,29,0,2,1,1,12.4,14.6,31.4,15.208732,317,2108,2425,1,low,"(8.98, 15.56]",low,"(19.44, 38.88]",2,0,1,0,0,0,medium,2
88,89,2018-03-30,winter,0,3,30,0,3,1,2,12.3,14.9,64.7,11.583496,168,1368,1536,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,low,3
89,90,2018-03-31,winter,0,3,31,0,4,1,3,11.0,12.9,91.8,14.582282,179,1506,1685,1,low,"(8.98, 15.56]",very_high,"(77.76, 97.2]",2,0,0,0,0,1,medium,2
90,91,2018-01-04,winter,0,4,01,0,5,1,2,12.3,14.2,68.6,17.333436,307,1920,2227,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,medium,2
91,92,2018-02-04,winter,0,4,02,0,6,0,2,12.9,15.8,65.4,13.208782,898,1354,2252,1,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,low,3
92,93,2018-03-04,winter,0,4,03,0,0,0,1,15.5,18.9,48.0,12.208271,1651,1598,3249,1,low,"(8.98, 15.56]",medium,"(38.88, 58.32]",2,0,0,1,0,0,low,3
93,94,2018-04-04,spring,0,4,04,0,1,1,1,23.5,27.1,42.6,25.833257,734,2381,3115,3,high,"(22.14, 28.72]",medium,"(38.88, 58.32]",4,0,0,1,0,0,high,1
94,95,2018-05-04,spring,0,4,05,0,2,1,2,17.0,19.9,64.2,26.000489,167,1628,1795,3,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,high,1
95,96,2018-06-04,spring,0,4,06,0,3,1,1,16.0,19.4,47.1,17.625221,413,2395,2808,3,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,medium,2
96,97,2018-07-04,summer,0,4,07,0,4,1,1,17.9,21.7,60.3,10.874904,571,2570,3141,4,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,low,3
97,98,2018-08-04,summer,0,4,08,0,5,1,2,13.8,16.2,83.6,15.208464,172,1299,1471,4,low,"(8.98, 15.56]",very_high,"(77.76, 97.2]",2,0,0,0,0,1,medium,2
98,99,2018-09-04,summer,0,4,09,0,6,0,2,14.0,17.1,87.8,8.916561,879,1576,2455,4,low,"(8.98, 15.56]",very_high,"(77.76, 97.2]",2,0,0,0,0,1,low,3
99,100,2018-10-04,autumn,0,4,10,0,0,0,2,17.5,21.3,85.8,9.833389,1188,1707,2895,2,medium,"(15.56, 22.14]",very_high,"(77.76, 97.2]",3,0,0,0,0,1,low,3
100,101,2018-11-04,autumn,0,4,11,0,1,1,2,24.4,28.3,71.7,21.739758,855,2493,3348,2,high,"(22.14, 28.72]",high,"(58.32, 77.76]",4,0,0,0,1,0,high,1
101,102,2018-12-04,autumn,0,4,12,0,2,1,2,20.6,24.7,73.9,18.416893,257,1777,2034,2,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,medium,2
102,103,2018-04-13,spring,0,4,13,0,3,1,2,16.9,20.9,81.9,16.791339,209,1953,2162,3,medium,"(15.56, 22.14]",very_high,"(77.76, 97.2]",3,0,0,0,0,1,medium,2
103,104,2018-04-14,spring,0,4,14,0,4,1,1,19.2,23.1,54.0,7.4169,529,2738,3267,3,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,very_low,4
104,105,2018-04-15,spring,0,4,15,1,5,0,1,18.3,22.1,67.1,15.167125,642,2484,3126,3,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,medium,2
105,106,2018-04-16,spring,0,4,16,0,6,0,3,17.7,21.3,88.8,22.834136,121,674,795,3,medium,"(15.56, 22.14]",very_high,"(77.76, 97.2]",3,0,0,0,0,1,high,1
106,107,2018-04-17,spring,0,4,17,0,0,0,1,18.7,22.3,48.0,20.334232,1558,2186,3744,3,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,medium,2
107,108,2018-04-18,spring,0,4,18,0,1,1,1,21.0,25.2,54.2,10.958989,669,2760,3429,3,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,low,3
108,109,2018-04-19,spring,0,4,19,0,2,1,2,20.7,24.5,66.6,10.584057,409,2795,3204,3,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,low,3
109,110,2018-04-20,spring,0,4,20,0,3,1,1,24.4,28.2,61.4,16.208975,613,3331,3944,3,high,"(22.14, 28.72]",high,"(58.32, 77.76]",4,0,0,0,1,0,medium,2
110,111,2018-04-21,spring,0,4,21,0,4,1,1,18.8,22.7,40.7,21.792286,745,3444,4189,3,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,high,1
111,112,2018-04-22,spring,0,4,22,0,5,1,2,13.8,16.1,73.0,14.707907,177,1506,1683,3,low,"(8.98, 15.56]",high,"(58.32, 77.76]",2,0,0,0,1,0,medium,2
112,113,2018-04-23,spring,0,4,23,0,6,0,2,18.9,22.5,88.8,15.458575,1462,2574,4036,3,medium,"(15.56, 22.14]",very_high,"(77.76, 97.2]",3,0,0,0,0,1,medium,2
113,114,2018-04-24,spring,0,4,24,0,0,0,2,23.8,27.6,81.1,12.875725,1710,2481,4191,3,high,"(22.14, 28.72]",very_high,"(77.76, 97.2]",4,0,0,0,0,1,low,3
114,115,2018-04-25,spring,0,4,25,0,1,1,1,24.9,28.7,77.7,12.417311,773,3300,4073,3,high,"(22.14, 28.72]",high,"(58.32, 77.76]",4,0,0,0,1,0,low,3
115,116,2018-04-26,spring,0,4,26,0,2,1,1,25.9,29.7,72.9,21.8755,678,3722,4400,3,high,"(22.14, 28.72]",high,"(58.32, 77.76]",4,0,0,0,1,0,high,1
116,117,2018-04-27,spring,0,4,27,0,3,1,2,25.4,28.8,83.5,20.9174,547,3325,3872,3,high,"(22.14, 28.72]",very_high,"(77.76, 97.2]",4,0,0,0,0,1,medium,2
117,118,2018-04-28,spring,0,4,28,0,4,1,2,25.3,28.9,70.1,21.500836,569,3489,4058,3,high,"(22.14, 28.72]",high,"(58.32, 77.76]",4,0,0,0,1,0,high,1
118,119,2018-04-29,spring,0,4,29,0,5,1,1,20.9,24.9,45.7,16.084221,878,3717,4595,3,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,medium,2
119,120,2018-04-30,spring,0,4,30,0,6,0,1,19.4,23.2,50.3,15.750025,1965,3347,5312,3,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,medium,2
120,121,2018-01-05,winter,0,5,01,0,0,0,2,18.5,22.4,76.2,7.125718,1138,2213,3351,1,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,very_low,4
121,122,2018-02-05,winter,0,5,02,0,1,1,2,22.5,26.6,73.0,12.291418,847,3554,4401,1,high,"(22.14, 28.72]",high,"(58.32, 77.76]",4,0,0,0,1,0,low,3
122,123,2018-03-05,winter,0,5,03,0,2,1,2,25.3,29.1,69.7,22.958689,603,3848,4451,1,high,"(22.14, 28.72]",high,"(58.32, 77.76]",4,0,0,0,1,0,high,1
123,124,2018-04-05,spring,0,5,04,0,3,1,2,17.0,20.2,73.7,22.042732,255,2378,2633,3,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,high,1
124,125,2018-05-05,spring,0,5,05,0,4,1,1,18.8,22.1,44.4,19.791264,614,3819,4433,3,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,medium,2
125,126,2018-06-05,spring,0,5,06,0,5,1,1,19.6,23.7,59.0,15.292482,894,3714,4608,3,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,medium,2
126,127,2018-07-05,summer,0,5,07,0,6,0,1,21.3,25.6,54.1,10.75015,1612,3102,4714,4,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,low,3
127,128,2018-08-05,summer,0,5,08,0,0,0,1,21.7,25.9,63.2,5.0007125,1401,2932,4333,4,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,very_low,4
128,129,2018-09-05,summer,0,5,09,0,1,1,1,21.8,26.3,58.9,11.792,664,3698,4362,4,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,low,3
129,130,2018-10-05,autumn,0,5,10,0,2,1,1,21.8,26.1,48.9,7.749957,694,4109,4803,2,medium,"(15.56, 22.14]",medium,"(38.88, 58.32]",3,0,0,1,0,0,very_low,4
130,131,2018-11-05,autumn,0,5,11,0,3,1,1,22.2,26.4,63.3,8.083014,550,3632,4182,2,high,"(22.14, 28.72]",high,"(58.32, 77.76]",4,0,0,0,1,0,low,3
131,132,2018-12-05,autumn,0,5,12,0,4,1,1,21.9,26.2,74.8,12.707689,695,4169,4864,2,medium,"(15.56, 22.14]",high,"(58.32, 77.76]",3,0,0,0,1,0,low,3
132,133,2018-05-13,spring,0,5,13,0,5,1,2,21.0,24.7,86.3,12.041575,692,3413,4105,3,medium,"(15.56, 22.14]",very_high,"(77.76, 97.2]",3,0,0,0,0,1,low,3
133,134,2018-05-14,spring,0,5,14,0,6,0,2,21.4,25.0,92.2,9.04165,902,2507,3409,3,medium,"(15.56, 22.14]",very_high,"(77.76, 97.2]",3,0,0,0,0,1,low,3
134,135,2018-05-15,spring,0,5,15,0,0,0,2,23.1,26.8,86.7,10.249593,1582,2971,4553,3,high,"(22.14, 28.72]",very_high,"(77.76, 97.2]",4,0,0,0,0,1,low,3
